Timestamp,Your Gender,Employment Type,Department,Years in Company,Individual - Performance [Knowledge sharing techniques in the organization increase my work efficiency.],Individual - Performance [Knowledge sharing techniques in the organization help me to solve problems at work.],Individual - Performance [Knowledge sharing techniques in the organization help me to accomplish my work],Individual - Performance [Knowledge sharing techniques in the organization increase my problem-solving abilities.],Individual - Learning & Capacity [I often develop new procedures to improve my everyday practice with the help of knowledge sharing activities.],Individual - Learning & Capacity [I clearly know how my job should be performed with the help of knowledge sharing.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization broaden my knowledge.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization increase the capability to define work.],Individual - Learning & Capacity [Knowledge sharing techniques in the organization increase the ability to generate novel ideas to solve work problems.],Individual - psychological Effects [Sharing knowledge satisfies me.],Individual - psychological Effects [I am satisfied with the job environment because of the knowledge sharing],Individual - psychological Effects [I am getting many rewards because of the knowledge sharing.],"Individual - psychological Effects [All in all, I believe that knowledge sharing is a main effect for my job satisfaction.]",Team - Performance [Knowledge sharing helps the team members to meet specific tasks deadlines in a timely manner.],Team - Performance [Knowledge sharing helps the team members to manage task related challenges and obstacles as they occured.],Team - Performance [Knowledge sharing helps the team members to decide on recommendations for tasks that are more feasible.],Team - Performance [Knowledge sharing helps to increase the team innovativeness of remedies used to solve problems.],Team - Performance [Knowledge sharing helps to identify more appropriate methods in problem solving.],Team - Creativity [Knowledge sharing helps the team to implement new ideas to improve the quality of the product.],Team - Creativity [Knowledge sharing open up ways for the team to look in to more innovative new or alternative methods.],"Team - Creativity [Knowledge sharing helps the team to produce new features, services or methods.]",Team - Creativity [Knowledge sharing increases the innovativeness of your team.],Team - Climate [Knowledge sharing helps the team to find the information easily for a given task or project.],Team - Climate [Knowledge sharing creates a friendly environment around the team members.],Team - Climate [I can rely on my team members for knowledge due to the impacts of knowledge sharing implementations.],Team - Climate [Team members are enjoying sharing information with different backgrounds of people and different diversities.],Organizational - Learning & Innovations [Knowledge sharing accesses more ways to enter in to the market with product innovations.],Organizational - Learning & Innovations [Knowledge sharing is a key factor for novel and innovative new product developments.],Organizational - Learning & Innovations [Knowledge sharing tends to open up more new development opportunities.],"Organizational - Learning & Innovations [All in all, I believe that knowledge sharing helps to improve the organizational innovative capabilities.]",Organizational - Business Process Efficiency  [Effective knowledge sharing is a significant competitive advantage for the company.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to increase the productivity of the organization.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to maintain effective customer relationship with the organization.],Organizational - Business Process Efficiency  [I believe that knowledge sharing helps to improve the effective communication between departments.],"Organizational - Business Process Efficiency  [All in all, I believe that knowledge sharing helps to increase the overall organizational effectiveness.]","Knowledge Sharing Within Organization. [I frequently do share /exchange the following with my colleagues: Reports, official documents; Manuals, methodologies, models; know-where, know-whom; Experience, know-how; Expertise from education and training.]",Knowledge Sharing Within Organization. [The opportunities to share knowledge within the organization are sufficient.],Knowledge Sharing Within Organization. [There are valid processes/channels to share knowledge between different departments.],"Knowledge Sharing Within Organization. [I always share knowledge with colleagues inside my department, outside my department and with customers.]"
11/9/2022 17:31:59,Female,Full Time,Engineering,1,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree
11/11/2022 18:06:10,Male,Full Time,Engineering,3,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral
11/11/2022 18:34:48,Female,Full Time,Engineering,1,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
11/11/2022 19:45:47,Male,Full Time,Engineering,2,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral
11/17/2022 7:18:10,Female,Full Time,Marketing,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
11/17/2022 20:18:39,Female,Intern,Marketing,1,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
1/7/2023 5:56:54,Male,Full Time,Engineering,0.583,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1/7/2023 6:48:59,Female,Full Time,Marketing,1,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
1/7/2023 6:55:51,Female,Full Time,Administrative,3,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1/7/2023 7:18:13,Female,Full Time,Administrative,0.666,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral
1/7/2023 7:27:22,Male,Full Time,Engineering,2.5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
1/7/2023 7:34:13,Male,Full Time,Instructing,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
1/7/2023 7:42:51,Female,Full Time,Administrative,1,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
1/7/2023 7:49:39,Female,Full Time,Marketing,3,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1/7/2023 7:54:33,Female,Full Time,Administrative,0.083333,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral
1/7/2023 8:53:31,Female,Part Time,Instructing,0.5,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree
1/7/2023 8:59:25,Male,Part Time,Instructing,0.6,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
1/7/2023 9:09:39,Male,Part Time,Instructing,0.33,Agree,Neutral,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
1/7/2023 9:14:12,Female,Full Time,Engineering,2,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree
1/7/2023 9:24:26,Female,Full Time,Instructing,0.16,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree
1/7/2023 9:26:53,Female,Part Time,Instructing,0.33,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree
1/7/2023 9:31:00,Male,Full Time,Instructing,1,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1/7/2023 9:37:23,Male,Part Time,Instructing,0.5,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree
1/7/2023 9:42:51,Male,Part Time,Instructing,0.416,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
1/7/2023 10:01:17,Female,Intern,Engineering,0.5,Agree,Strongly Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree
1/7/2023 10:04:27,Female,Part Time,Instructing,0.4167,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1/7/2023 10:09:46,Female,Part Time,Marketing,0.25,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Agree
1/7/2023 10:12:13,Female,Part Time,Instructing,0.167,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
1/7/2023 10:16:54,Female,Part Time,Instructing,0.5,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree
1/7/2023 10:21:57,Female,Part Time,Instructing,0.5,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree
1/7/2023 10:28:18,Male,Part Time,Instructing,0.67,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree